Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
181,4.92,444,360.87,0.8002,0.4228,0.9275
182,4.83,435,343.26,0.8028,0.4222,0.9307
183,4.92,420,351.81,0.801,0.4295,0.9266
184,4.84,425,357.87,0.781,0.4054,0.9167
185,4.91,460,349.19,0.769,0.3971,0.9165
186,4.82,434,354.81,0.8007,0.4255,0.9209
187,4.89,429,347.09,0.7666,0.4072,0.9109
188,4.84,426,348.51,0.7907,0.4187,0.9239
189,4.92,392,349.87,0.7758,0.4019,0.9167
190,4.82,432,358.57,0.7991,0.4182,0.9241
191,4.85,292,264.09,0.6678,0.3172,0.8809
192,4.76,285,263.79,0.6731,0.3134,0.8806
193,4.88,293,264.04,0.6632,0.3107,0.878
194,4.79,290,263.28,0.6578,0.3119,0.8768
195,4.87,284,264.28,0.6473,0.3101,0.8693
196,4.78,296,264.19,0.6597,0.3075,0.8774
197,4.86,288,262.94,0.6604,0.3123,0.8761
198,4.76,295,263.74,0.6461,0.3067,0.8714
199,4.88,289,264.6,0.6388,0.3014,0.8709
200,4.78,291,264.89,0.6395,0.3023,0.8694
