epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,662.692,1.21644,0.77157,1.08687,0.62707,0.71244,0.68007,0.40209,1.27688,0.76027,1.08783,0.00072775,0.00072775,0.00072775
57,673.867,1.2236,0.76142,1.08231,0.63262,0.69003,0.68192,0.40614,1.25968,0.74432,1.0833,0.0007228,0.0007228,0.0007228
58,685.343,1.20701,0.74965,1.07415,0.69211,0.65852,0.69086,0.40723,1.28241,0.76636,1.08508,0.00071785,0.00071785,0.00071785
59,698.581,1.19658,0.75798,1.07096,0.66396,0.6886,0.6998,0.41751,1.26166,0.77399,1.07672,0.0007129,0.0007129,0.0007129
60,711.32,1.17831,0.74212,1.06757,0.64341,0.70462,0.69684,0.40794,1.27812,0.75831,1.0822,0.00070795,0.00070795,0.00070795
61,722.581,1.20542,0.74972,1.08314,0.64956,0.65209,0.67996,0.40344,1.28237,0.78337,1.08566,0.000703,0.000703,0.000703
62,734.293,1.20462,0.7416,1.09239,0.6458,0.71366,0.69906,0.42267,1.25292,0.75683,1.07848,0.00069805,0.00069805,0.00069805
63,747.449,1.20275,0.75314,1.0779,0.64126,0.66837,0.67429,0.40758,1.27266,0.78448,1.08221,0.0006931,0.0006931,0.0006931
64,759.029,1.19492,0.74911,1.07214,0.57758,0.7206,0.65655,0.39396,1.26775,0.75536,1.08259,0.00068815,0.00068815,0.00068815
65,770.414,1.17395,0.73026,1.06785,0.63913,0.70236,0.70278,0.42663,1.26433,0.74337,1.07308,0.0006832,0.0006832,0.0006832
66,784.642,1.18804,0.70759,1.07223,0.66146,0.70238,0.67949,0.40892,1.28199,0.76705,1.07697,0.00067825,0.00067825,0.00067825
67,796.047,1.17899,0.72161,1.0661,0.69689,0.69571,0.70286,0.41036,1.28884,0.75892,1.08231,0.0006733,0.0006733,0.0006733
68,807.63,1.19707,0.726,1.07564,0.6832,0.69702,0.714,0.4218,1.28176,0.72211,1.08402,0.00066835,0.00066835,0.00066835
69,818.934,1.17114,0.72297,1.06571,0.63424,0.729,0.69241,0.41447,1.29227,0.76707,1.09252,0.0006634,0.0006634,0.0006634
70,830.262,1.17063,0.71482,1.06735,0.64391,0.76032,0.71411,0.42823,1.27351,0.72556,1.08119,0.00065845,0.00065845,0.00065845
71,843.749,1.19015,0.74255,1.07324,0.61726,0.70215,0.66325,0.39426,1.27903,0.81695,1.08055,0.0006535,0.0006535,0.0006535
72,855.094,1.17423,0.7236,1.06923,0.60186,0.73876,0.67286,0.40281,1.27254,0.74849,1.07774,0.00064855,0.00064855,0.00064855
73,866.459,1.17353,0.713,1.06921,0.62274,0.692,0.678,0.39604,1.3681,0.78247,1.11977,0.0006436,0.0006436,0.0006436
74,878.531,1.18317,0.70544,1.06131,0.68241,0.73234,0.7239,0.42629,1.28411,0.75223,1.0861,0.00063865,0.00063865,0.00063865
75,890.006,1.184,0.72032,1.07661,0.72691,0.68673,0.69759,0.41528,1.28863,0.78987,1.09086,0.0006337,0.0006337,0.0006337
76,901.574,1.16559,0.71297,1.06732,0.63835,0.67273,0.68658,0.40521,1.31512,0.73904,1.09497,0.00062875,0.00062875,0.00062875
77,913.765,1.15517,0.70455,1.05657,0.70318,0.67493,0.71323,0.42864,1.26701,0.73005,1.08217,0.0006238,0.0006238,0.0006238
78,926.008,1.15553,0.6925,1.05621,0.68966,0.71008,0.70829,0.42944,1.26966,0.74387,1.08257,0.00061885,0.00061885,0.00061885
79,939.454,1.15512,0.70013,1.0596,0.72083,0.67806,0.70436,0.42801,1.2668,0.73135,1.0853,0.0006139,0.0006139,0.0006139
80,950.873,1.16049,0.69417,1.06594,0.67979,0.72394,0.71399,0.42778,1.27878,0.76713,1.08668,0.00060895,0.00060895,0.00060895
81,962.471,1.17682,0.69668,1.05903,0.62953,0.73917,0.67976,0.40587,1.25632,0.74348,1.07381,0.000604,0.000604,0.000604
82,974.312,1.14623,0.69086,1.05168,0.68574,0.755,0.73423,0.43993,1.25689,0.71624,1.07242,0.00059905,0.00059905,0.00059905
83,986.814,1.13415,0.67058,1.05229,0.67666,0.73164,0.72353,0.43187,1.25199,0.7378,1.08064,0.0005941,0.0005941,0.0005941
84,999.549,1.14739,0.68897,1.05094,0.69406,0.69635,0.71762,0.42936,1.28437,0.72107,1.08067,0.00058915,0.00058915,0.00058915
85,1010.89,1.17056,0.691,1.06308,0.62077,0.74717,0.69526,0.40552,1.34221,0.75864,1.10325,0.0005842,0.0005842,0.0005842
86,1022.37,1.13632,0.67214,1.04868,0.64883,0.70662,0.70114,0.43615,1.25439,0.72525,1.08154,0.00057925,0.00057925,0.00057925
87,1033.94,1.13385,0.69323,1.04724,0.6988,0.7325,0.72965,0.44065,1.27311,0.74047,1.09118,0.0005743,0.0005743,0.0005743
88,1046.49,1.13623,0.6663,1.04828,0.65759,0.71913,0.72295,0.43788,1.30869,0.72164,1.0986,0.00056935,0.00056935,0.00056935
89,1057.63,1.11355,0.66906,1.03387,0.66193,0.73607,0.71072,0.432,1.27492,0.74241,1.0873,0.0005644,0.0005644,0.0005644
90,1068.9,1.16091,0.68174,1.06474,0.61092,0.72985,0.69673,0.42219,1.24923,0.77807,1.08072,0.00055945,0.00055945,0.00055945
91,1080.46,1.14413,0.67426,1.05469,0.69834,0.6986,0.70974,0.42657,1.26,0.75662,1.07946,0.0005545,0.0005545,0.0005545
92,1091.82,1.12318,0.66098,1.04417,0.63943,0.74225,0.71671,0.43032,1.27186,0.7346,1.08128,0.00054955,0.00054955,0.00054955
93,1103.01,1.1415,0.66008,1.0523,0.67668,0.73126,0.71144,0.43384,1.25616,0.70147,1.07615,0.0005446,0.0005446,0.0005446
94,1114.37,1.12513,0.66437,1.04476,0.74682,0.69188,0.73611,0.43901,1.25709,0.70952,1.07375,0.00053965,0.00053965,0.00053965
95,1126.31,1.10435,0.64388,1.04137,0.69601,0.69795,0.71263,0.42658,1.25072,0.7371,1.08287,0.0005347,0.0005347,0.0005347
96,1137.49,1.10231,0.63899,1.03951,0.71984,0.7251,0.73961,0.44238,1.28955,0.72884,1.08347,0.00052975,0.00052975,0.00052975
97,1150.07,1.11997,0.64906,1.04202,0.67257,0.79512,0.73549,0.42565,1.35233,0.72735,1.11022,0.0005248,0.0005248,0.0005248
98,1162.03,1.12804,0.63919,1.04483,0.68743,0.75392,0.73326,0.44302,1.28179,0.73736,1.08604,0.00051985,0.00051985,0.00051985
99,1173.31,1.12725,0.64321,1.04352,0.73006,0.69043,0.72823,0.44365,1.24539,0.71683,1.07122,0.0005149,0.0005149,0.0005149
100,1185.72,1.10203,0.64428,1.03723,0.64301,0.74528,0.70433,0.4306,1.27139,0.74361,1.07997,0.00050995,0.00050995,0.00050995
101,1196.8,1.12051,0.6295,1.045,0.68184,0.73576,0.73387,0.43513,1.27514,0.73314,1.07891,0.000505,0.000505,0.000505
102,1208.21,1.10866,0.64529,1.03368,0.68399,0.73246,0.73582,0.44369,1.24814,0.7141,1.07217,0.00050005,0.00050005,0.00050005
103,1220.69,1.11263,0.64136,1.04475,0.70165,0.73729,0.74567,0.43842,1.28371,0.71233,1.08435,0.0004951,0.0004951,0.0004951
104,1231.98,1.11176,0.62784,1.0453,0.74468,0.69048,0.73653,0.44632,1.33104,0.70673,1.09814,0.00049015,0.00049015,0.00049015
105,1244.59,1.09255,0.62823,1.03294,0.71601,0.70092,0.7245,0.44029,1.24511,0.6938,1.07026,0.0004852,0.0004852,0.0004852
106,1256.7,1.09896,0.61825,1.03296,0.72302,0.74173,0.75312,0.45211,1.24951,0.68651,1.0731,0.00048025,0.00048025,0.00048025
107,1269.25,1.09004,0.616,1.03878,0.65413,0.74479,0.72693,0.44482,1.24786,0.72354,1.07613,0.0004753,0.0004753,0.0004753
108,1280.57,1.0901,0.61897,1.03363,0.60335,0.76252,0.69039,0.4168,1.27925,0.78323,1.08678,0.00047035,0.00047035,0.00047035
109,1292.28,1.08415,0.633,1.02365,0.69803,0.74907,0.73393,0.43249,1.24141,0.69661,1.07173,0.0004654,0.0004654,0.0004654
110,1304.13,1.10542,0.63525,1.04898,0.63872,0.71323,0.70423,0.41845,1.28943,0.74588,1.09097,0.00046045,0.00046045,0.00046045
111,1316,1.09866,0.62334,1.03368,0.72708,0.73297,0.73441,0.43625,1.28627,0.70401,1.09101,0.0004555,0.0004555,0.0004555
112,1328,1.08466,0.61362,1.03032,0.6624,0.7811,0.74478,0.44426,1.28211,0.69213,1.08731,0.00045055,0.00045055,0.00045055
113,1339.5,1.0731,0.61658,1.03094,0.7104,0.76105,0.73684,0.44002,1.26714,0.71458,1.08414,0.0004456,0.0004456,0.0004456
114,1351.04,1.09606,0.63147,1.03378,0.71769,0.75601,0.74462,0.44402,1.27426,0.72641,1.08049,0.00044065,0.00044065,0.00044065
115,1363.18,1.07933,0.6127,1.03371,0.73873,0.71978,0.75359,0.45462,1.27898,0.71001,1.08412,0.0004357,0.0004357,0.0004357
116,1375.37,1.08572,0.62002,1.0251,0.65637,0.76827,0.74884,0.45056,1.27505,0.72324,1.08007,0.00043075,0.00043075,0.00043075
117,1386.92,1.07963,0.61724,1.02674,0.73738,0.75688,0.75586,0.45368,1.27004,0.69467,1.08843,0.0004258,0.0004258,0.0004258
118,1398.71,1.08201,0.60802,1.02387,0.69649,0.77872,0.74805,0.45786,1.24593,0.7176,1.07377,0.00042085,0.00042085,0.00042085
119,1411.4,1.05398,0.59509,1.02295,0.67114,0.76082,0.732,0.44221,1.25612,0.71199,1.07561,0.0004159,0.0004159,0.0004159
120,1423.39,1.06698,0.59388,1.01937,0.71185,0.76015,0.73246,0.43989,1.25302,0.67654,1.07257,0.00041095,0.00041095,0.00041095
121,1434.86,1.05197,0.58805,1.01676,0.6982,0.7394,0.73969,0.45628,1.2494,0.68714,1.07021,0.000406,0.000406,0.000406
122,1447.52,1.05856,0.59634,1.02337,0.75663,0.7304,0.74433,0.45064,1.26255,0.70258,1.07622,0.00040105,0.00040105,0.00040105
123,1459.53,1.05956,0.59683,1.02664,0.71733,0.7228,0.71107,0.44062,1.25095,0.69458,1.07188,0.0003961,0.0003961,0.0003961
124,1471.14,1.06444,0.59434,1.02403,0.68252,0.75841,0.72476,0.44945,1.25682,0.70264,1.07223,0.00039115,0.00039115,0.00039115
125,1483.36,1.0461,0.58191,1.0196,0.69698,0.74955,0.73424,0.45728,1.25231,0.72305,1.0807,0.0003862,0.0003862,0.0003862
126,1494.84,1.04803,0.58587,1.01479,0.72182,0.73021,0.74035,0.45503,1.26133,0.72503,1.07765,0.00038125,0.00038125,0.00038125
127,1506.31,1.05365,0.57986,1.02592,0.6669,0.78114,0.74014,0.4615,1.26099,0.70659,1.07945,0.0003763,0.0003763,0.0003763
128,1519.67,1.04554,0.59029,1.01582,0.73832,0.71244,0.7351,0.45132,1.26104,0.69586,1.08,0.00037135,0.00037135,0.00037135
