Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
153,6.82,410,355.32,1.0346,0.5608,1.0008
154,6.88,409,347.3,1.0516,0.5838,1.01
155,6.82,432,356.76,1.0395,0.5727,1.0119
156,6.89,389,338.16,1.0108,0.5419,1.0016
157,6.83,426,362.38,1.0395,0.5713,1.0228
158,6.9,425,352.49,1.0061,0.5526,1.0042
159,6.83,412,347.28,1.0241,0.5528,1.0088
160,6.9,437,352.72,1.0345,0.5763,1.0146
161,6.82,436,352.42,1.0146,0.5506,0.9964
162,6.89,420,350.63,0.9941,0.5349,0.9911
163,6.82,401,345.64,1.0156,0.5404,0.9949
164,6.9,408,355.04,1.0024,0.5449,0.993
165,6.8,408,352.81,0.9995,0.5325,0.999
166,6.89,427,349.82,1.0136,0.5599,1.0061
167,6.85,394,345.7,1.0021,0.5271,0.9936
168,6.89,429,365.65,0.9952,0.539,0.9923
169,6.82,402,352.49,1.0013,0.528,0.9927
170,6.89,405,340.72,0.974,0.503,0.9953
171,6.82,440,349.91,1.0027,0.5183,0.9962
172,6.89,465,350.18,0.9773,0.5127,0.9895
173,6.82,415,352.02,0.9968,0.537,0.9922
174,6.88,408,348.77,0.9975,0.5354,0.993
175,6.83,425,351.16,0.9783,0.5121,0.993
176,6.89,462,350.56,1.0015,0.5348,1.002
177,6.82,427,357.62,0.9731,0.5193,0.9893
178,6.92,456,357.87,1.0021,0.5347,0.9937
179,6.82,431,349.85,0.9847,0.5285,0.9912
180,6.91,437,360.72,0.9932,0.5301,0.9888
181,6.85,444,360.96,0.9862,0.5243,0.9964
182,6.9,435,343.26,0.9801,0.5304,0.9948
183,6.82,420,351.81,0.9806,0.5269,0.9939
184,6.9,425,357.87,0.9666,0.5063,0.9828
185,6.81,460,349.19,0.9735,0.4936,0.9833
186,6.89,434,354.81,0.9832,0.5142,0.9855
187,6.82,429,347.09,0.9497,0.499,0.975
188,6.9,426,348.51,0.9774,0.5203,0.99
189,6.82,392,349.87,0.9667,0.5022,0.9864
190,6.89,432,358.57,0.9715,0.5167,0.9864
191,6.85,292,264.09,0.8929,0.4236,0.9648
192,6.92,285,263.79,0.8857,0.409,0.9611
193,6.85,293,264.04,0.8832,0.4089,0.9616
194,6.95,290,263.28,0.8819,0.4086,0.9557
195,6.85,284,264.28,0.8761,0.4089,0.9524
196,6.95,296,264.19,0.8853,0.4104,0.9574
197,6.86,288,262.94,0.8846,0.4165,0.9605
198,6.92,295,263.74,0.8701,0.4066,0.9551
199,6.84,289,264.6,0.8638,0.4018,0.9539
200,6.94,291,264.89,0.8676,0.4022,0.9547
