Epoch,GPU Usage (GB),Peak GPU Usage (MB),Avg GPU Usage (MB),Box Loss,Cls Loss,DFL Loss
164,5.86,408,356.28,0.9486,0.511,0.9741
165,5.77,422,357.04,0.9477,0.5031,0.9793
166,5.86,427,348.72,0.958,0.5269,0.9845
167,5.77,423,349.77,0.9448,0.4967,0.9746
168,5.86,429,365.43,0.9466,0.509,0.974
169,5.78,402,351.64,0.9474,0.4992,0.9736
170,5.91,405,340.72,0.9183,0.4806,0.9731
171,5.81,440,351.66,0.9442,0.4943,0.9736
172,5.85,465,350.98,0.9149,0.4845,0.9679
173,5.78,415,352.7,0.9454,0.5181,0.975
174,5.85,408,348.77,0.9289,0.5043,0.967
175,5.79,425,349.7,0.9127,0.4842,0.9695
176,5.85,462,348.7,0.9457,0.5058,0.9807
177,5.78,427,356.06,0.9215,0.5003,0.9681
178,5.88,456,357.87,0.9407,0.5039,0.9723
179,5.78,431,349.85,0.9183,0.4982,0.9655
180,5.87,437,360.72,0.9437,0.5007,0.9717
181,5.78,444,360.87,0.9212,0.4955,0.9717
182,5.86,435,343.26,0.9252,0.498,0.9735
183,5.78,420,351.81,0.9136,0.4944,0.9673
184,5.86,425,357.87,0.9051,0.4778,0.9616
185,5.77,460,349.19,0.9058,0.4688,0.9612
186,5.85,434,354.81,0.9171,0.4953,0.9632
187,5.78,429,347.09,0.8802,0.4732,0.951
188,5.86,426,348.51,0.914,0.4937,0.9675
189,5.78,392,349.87,0.8955,0.4737,0.9611
190,5.88,432,358.57,0.9165,0.4909,0.9651
191,5.8,292,264.09,0.8097,0.3942,0.9341
192,5.87,285,263.79,0.8073,0.3859,0.9335
193,5.82,293,264.04,0.8118,0.3892,0.9349
194,5.9,290,263.28,0.8081,0.383,0.9312
195,5.8,284,264.28,0.7931,0.3834,0.9236
196,5.9,296,264.19,0.7975,0.3864,0.9264
197,5.82,288,262.94,0.8066,0.3903,0.9316
198,5.88,295,263.74,0.7956,0.3877,0.9273
199,5.82,289,264.6,0.7895,0.3774,0.9258
200,5.89,291,264.89,0.7908,0.3765,0.926
