epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,1512.01,2.1586,1.15421,2.02678,0.74234,0.74586,0.77492,0.48206,2.65894,1.4493,2.16701,0.00040105,0.00040105,0.00040105
123,1525.46,2.16442,1.16449,2.03354,0.73804,0.72153,0.75326,0.47434,2.62882,1.52161,2.15486,0.0003961,0.0003961,0.0003961
124,1538.98,2.16632,1.15469,2.03355,0.73044,0.70859,0.75216,0.46943,2.57946,1.53348,2.14137,0.00039115,0.00039115,0.00039115
125,1551.16,2.13281,1.12765,2.02332,0.68225,0.74373,0.73371,0.45542,2.57681,1.58378,2.15085,0.0003862,0.0003862,0.0003862
126,1563.09,2.13603,1.13978,2.01585,0.66874,0.73244,0.73154,0.46544,2.5769,1.51767,2.14731,0.00038125,0.00038125,0.00038125
127,1574.98,2.13481,1.10749,2.03106,0.69304,0.70982,0.73286,0.45908,2.55633,1.49982,2.14152,0.0003763,0.0003763,0.0003763
128,1586.47,2.13048,1.14048,2.01353,0.72682,0.70332,0.74803,0.46827,2.57407,1.4567,2.14725,0.00037135,0.00037135,0.00037135
129,1598.37,2.1404,1.13197,2.02108,0.71928,0.72811,0.75507,0.46553,2.58446,1.41967,2.14383,0.0003664,0.0003664,0.0003664
130,1610.25,2.13596,1.12345,2.01801,0.74057,0.71926,0.76798,0.48031,2.56657,1.54455,2.14313,0.00036145,0.00036145,0.00036145
131,1622.43,2.17089,1.16376,2.03509,0.72067,0.75779,0.77867,0.48488,2.58822,1.46475,2.14753,0.0003565,0.0003565,0.0003565
132,1636.44,2.16344,1.10433,2.02123,0.73344,0.71327,0.75715,0.47209,2.63723,1.4879,2.15269,0.00035155,0.00035155,0.00035155
133,1648.49,2.11239,1.10496,1.99394,0.70858,0.76634,0.75578,0.45843,2.62581,1.58202,2.15931,0.0003466,0.0003466,0.0003466
134,1660.9,2.078,1.09381,1.99615,0.70622,0.78113,0.73998,0.46653,2.56963,1.48542,2.14831,0.00034165,0.00034165,0.00034165
135,1672.9,2.09315,1.09398,1.99719,0.69644,0.72726,0.74314,0.4686,2.58599,1.53677,2.14977,0.0003367,0.0003367,0.0003367
136,1685.47,2.07915,1.06261,1.98329,0.70837,0.75413,0.76118,0.48111,2.57439,1.52002,2.14507,0.00033175,0.00033175,0.00033175
137,1697.72,2.05686,1.04466,1.98146,0.70856,0.73944,0.75316,0.47778,2.60128,1.48053,2.15984,0.0003268,0.0003268,0.0003268
138,1709.51,2.04345,1.05862,1.98662,0.75044,0.7154,0.74438,0.47131,2.5601,1.47792,2.14354,0.00032185,0.00032185,0.00032185
139,1721.09,2.03558,1.04085,1.97772,0.74575,0.7476,0.77827,0.49344,2.59036,1.50471,2.15475,0.0003169,0.0003169,0.0003169
140,1733.2,2.05011,1.04298,1.98413,0.72646,0.777,0.76629,0.48724,2.56623,1.52157,2.14278,0.00031195,0.00031195,0.00031195
141,1745.44,2.03691,1.05062,1.97681,0.73273,0.78129,0.76871,0.49155,2.5722,1.5083,2.14955,0.000307,0.000307,0.000307
142,1757.23,2.01176,1.03484,1.95787,0.7461,0.70834,0.75869,0.48771,2.52473,1.49179,2.13613,0.00030205,0.00030205,0.00030205
143,1769.8,2.01159,1.01786,1.97269,0.70821,0.77347,0.76441,0.48656,2.52175,1.49036,2.12984,0.0002971,0.0002971,0.0002971
144,1781.55,1.99496,1.05001,1.97383,0.71551,0.73539,0.74687,0.47243,2.57825,1.51448,2.14009,0.00029215,0.00029215,0.00029215
145,1793.56,2.02165,1.05486,1.97449,0.71869,0.74545,0.76401,0.4791,2.64826,1.4967,2.16845,0.0002872,0.0002872,0.0002872
146,1805.89,2.02074,1.04848,1.97246,0.70498,0.73657,0.7488,0.47636,2.53602,1.47653,2.13001,0.00028225,0.00028225,0.00028225
147,1817.93,2.02894,1.02772,1.98695,0.71552,0.75652,0.73907,0.46673,2.52093,1.52869,2.13308,0.0002773,0.0002773,0.0002773
148,1830.06,2.02804,1.05479,1.97515,0.71971,0.76872,0.75763,0.47369,2.54918,1.53131,2.15049,0.00027235,0.00027235,0.00027235
149,1842.2,2.02801,1.07442,1.99143,0.78285,0.70851,0.78861,0.50612,2.56358,1.48779,2.14198,0.0002674,0.0002674,0.0002674
150,1855.28,2.01485,1.04968,1.9687,0.7389,0.75592,0.77683,0.49652,2.55326,1.49648,2.14149,0.00026245,0.00026245,0.00026245
151,1867.32,2.01319,1.02733,1.97181,0.73687,0.73276,0.77446,0.49305,2.58258,1.52674,2.15572,0.0002575,0.0002575,0.0002575
152,1879.87,1.99433,1.03787,1.97093,0.8009,0.6943,0.76813,0.48227,2.52272,1.47263,2.13768,0.00025255,0.00025255,0.00025255
153,1892.01,1.99375,0.99359,1.95272,0.74403,0.75978,0.77064,0.48081,2.5291,1.47693,2.1353,0.0002476,0.0002476,0.0002476
154,1903.82,1.97775,1.00411,1.95106,0.67326,0.77803,0.77255,0.49144,2.5305,1.52955,2.14026,0.00024265,0.00024265,0.00024265
155,1915.81,2.01079,1.03884,1.96083,0.74484,0.73251,0.78197,0.4883,2.57076,1.50464,2.15137,0.0002377,0.0002377,0.0002377
156,1927.55,1.95773,0.96195,1.94279,0.76277,0.71816,0.76652,0.48843,2.54269,1.50674,2.13611,0.00023275,0.00023275,0.00023275
157,1939.69,1.9584,0.99628,1.95329,0.71587,0.74155,0.76694,0.49169,2.51791,1.47122,2.13402,0.0002278,0.0002278,0.0002278
158,1952.28,1.9494,0.99317,1.95201,0.74221,0.7061,0.75833,0.48574,2.5283,1.536,2.14249,0.00022285,0.00022285,0.00022285
159,1964.58,1.96151,0.97939,1.95502,0.7636,0.74824,0.7855,0.49334,2.55225,1.46133,2.14683,0.0002179,0.0002179,0.0002179
160,1976.4,1.96628,1.01432,1.95854,0.73439,0.76187,0.77452,0.49145,2.58923,1.4943,2.16442,0.00021295,0.00021295,0.00021295
161,1988.44,1.92982,0.98342,1.93809,0.74128,0.77445,0.78278,0.49321,2.56794,1.48955,2.15737,0.000208,0.000208,0.000208
162,2000.48,1.90088,0.94744,1.92924,0.72979,0.777,0.78387,0.50187,2.54427,1.49588,2.14459,0.00020305,0.00020305,0.00020305
163,2012.56,1.92716,0.98086,1.94267,0.7138,0.75487,0.77406,0.49232,2.55503,1.50545,2.15209,0.0001981,0.0001981,0.0001981
164,2024.71,1.88637,0.9416,1.91721,0.74206,0.74164,0.77488,0.49128,2.5404,1.51079,2.14972,0.00019315,0.00019315,0.00019315
165,2037.62,1.91791,0.98033,1.93815,0.74945,0.7271,0.787,0.50141,2.58054,1.50431,2.16356,0.0001882,0.0001882,0.0001882
166,2049.86,1.90623,0.97827,1.94215,0.71581,0.73597,0.77024,0.49315,2.54629,1.47815,2.14494,0.00018325,0.00018325,0.00018325
167,2062.68,1.88543,0.94335,1.92624,0.77605,0.71698,0.76665,0.48997,2.5207,1.48662,2.14374,0.0001783,0.0001783,0.0001783
168,2074.68,1.94565,0.98363,1.9472,0.73919,0.76193,0.77772,0.49638,2.51668,1.46723,2.1442,0.00017335,0.00017335,0.00017335
169,2087.64,1.90059,0.94439,1.93277,0.70818,0.75998,0.77596,0.50383,2.51114,1.45381,2.1376,0.0001684,0.0001684,0.0001684
170,2099.56,1.84015,0.89802,1.91725,0.76502,0.72747,0.77777,0.4977,2.55103,1.47519,2.15668,0.00016345,0.00016345,0.00016345
171,2111.57,1.90019,0.93486,1.93301,0.70903,0.73959,0.7651,0.4894,2.5565,1.48227,2.16052,0.0001585,0.0001585,0.0001585
172,2124.16,1.83987,0.90109,1.91578,0.77024,0.72837,0.78278,0.50605,2.56866,1.50485,2.16239,0.00015355,0.00015355,0.00015355
173,2136.13,1.88515,0.9576,1.92554,0.78766,0.71262,0.77607,0.49923,2.55406,1.4977,2.15166,0.0001486,0.0001486,0.0001486
174,2148.39,1.86515,0.94064,1.90978,0.79016,0.69618,0.77812,0.498,2.52282,1.46367,2.15107,0.00014365,0.00014365,0.00014365
175,2160.78,1.84394,0.89043,1.91452,0.77254,0.7211,0.77569,0.49401,2.5167,1.46664,2.14246,0.0001387,0.0001387,0.0001387
176,2173.08,1.86893,0.92682,1.92286,0.74535,0.73725,0.76697,0.49271,2.53256,1.49173,2.149,0.00013375,0.00013375,0.00013375
177,2185.16,1.82928,0.92605,1.90297,0.74237,0.75313,0.75896,0.48318,2.57043,1.46312,2.17028,0.0001288,0.0001288,0.0001288
178,2197.85,1.84876,0.93694,1.91093,0.76884,0.70424,0.7567,0.48887,2.53427,1.47605,2.1559,0.00012385,0.00012385,0.00012385
179,2210.16,1.84231,0.9157,1.91805,0.74604,0.74676,0.77962,0.50302,2.50963,1.43977,2.14745,0.0001189,0.0001189,0.0001189
180,2222.55,1.85742,0.91776,1.91168,0.70878,0.7857,0.76529,0.4995,2.50859,1.4443,2.15102,0.00011395,0.00011395,0.00011395
181,2234.41,1.82811,0.917,1.91169,0.75584,0.73693,0.77329,0.5038,2.51033,1.4786,2.14711,0.000109,0.000109,0.000109
182,2246.87,1.83581,0.92316,1.91624,0.75044,0.75824,0.77781,0.49945,2.53579,1.47037,2.15166,0.00010405,0.00010405,0.00010405
183,2259.47,1.8345,0.92948,1.91969,0.76841,0.74062,0.76295,0.49154,2.54069,1.46761,2.15124,9.91e-05,9.91e-05,9.91e-05
