epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,918.28,1.23084,0.76932,1.08847,0.60237,0.65622,0.64619,0.39534,1.25056,0.75869,1.07259,0.0007228,0.0007228,0.0007228
58,934.26,1.22629,0.76962,1.0828,0.63189,0.7037,0.68836,0.40537,1.27314,0.71833,1.07934,0.00071785,0.00071785,0.00071785
59,950.548,1.21951,0.77473,1.079,0.61403,0.71112,0.67303,0.39851,1.26961,0.76214,1.07712,0.0007129,0.0007129,0.0007129
60,965.879,1.1945,0.75462,1.07417,0.61772,0.68709,0.66352,0.39883,1.2765,0.74499,1.08221,0.00070795,0.00070795,0.00070795
61,981.534,1.21615,0.76109,1.08952,0.56438,0.68699,0.65613,0.39594,1.25698,0.74953,1.07173,0.000703,0.000703,0.000703
62,997.631,1.22604,0.75718,1.10311,0.58341,0.68393,0.64538,0.37706,1.27834,0.82938,1.0802,0.00069805,0.00069805,0.00069805
63,1015.26,1.21637,0.77121,1.08393,0.66613,0.603,0.67461,0.40235,1.26587,0.7629,1.07748,0.0006931,0.0006931,0.0006931
64,1031.16,1.19921,0.76351,1.07767,0.66679,0.58783,0.65952,0.3988,1.28093,0.75306,1.08292,0.00068815,0.00068815,0.00068815
65,1046.57,1.183,0.74341,1.07371,0.67351,0.6406,0.67617,0.40174,1.29493,0.73327,1.08694,0.0006832,0.0006832,0.0006832
66,1061.83,1.20322,0.72249,1.08013,0.63499,0.66944,0.68402,0.41321,1.30657,0.72985,1.08775,0.00067825,0.00067825,0.00067825
67,1078.01,1.20039,0.73449,1.07551,0.58639,0.71313,0.67775,0.39296,1.36097,0.73574,1.10968,0.0006733,0.0006733,0.0006733
68,1094,1.21393,0.73481,1.08414,0.64829,0.68611,0.69529,0.41874,1.27722,0.75355,1.07807,0.00066835,0.00066835,0.00066835
69,1111.07,1.18827,0.73333,1.07445,0.62014,0.74576,0.70653,0.41381,1.29385,0.76058,1.08865,0.0006634,0.0006634,0.0006634
70,1126.58,1.17967,0.72462,1.07431,0.65469,0.70415,0.69935,0.41345,1.32049,0.72673,1.09593,0.00065845,0.00065845,0.00065845
71,1142.18,1.20279,0.74958,1.08059,0.58205,0.7675,0.68219,0.39114,1.36303,0.75731,1.10683,0.0006535,0.0006535,0.0006535
72,1157.15,1.20107,0.74121,1.07958,0.57513,0.76154,0.66328,0.39746,1.2726,0.76212,1.08222,0.00064855,0.00064855,0.00064855
73,1172.75,1.19268,0.72815,1.07649,0.58506,0.70359,0.6805,0.39382,1.33729,0.73984,1.10122,0.0006436,0.0006436,0.0006436
74,1188.34,1.19917,0.71758,1.06852,0.56381,0.74727,0.7067,0.42016,1.27601,0.72217,1.07616,0.00063865,0.00063865,0.00063865
75,1204.58,1.19708,0.72913,1.08475,0.60236,0.72251,0.69385,0.40699,1.32814,0.78454,1.10174,0.0006337,0.0006337,0.0006337
76,1219.91,1.1801,0.73445,1.07396,0.65177,0.63572,0.69672,0.38965,1.38762,0.77793,1.1118,0.00062875,0.00062875,0.00062875
77,1234.96,1.1679,0.70944,1.06248,0.68912,0.60997,0.69127,0.41182,1.267,0.725,1.07725,0.0006238,0.0006238,0.0006238
78,1250.68,1.18285,0.72297,1.06812,0.60517,0.76079,0.68183,0.40803,1.28366,0.74042,1.09075,0.00061885,0.00061885,0.00061885
79,1266.81,1.17969,0.72116,1.07124,0.68547,0.64541,0.69606,0.41338,1.27548,0.72113,1.08146,0.0006139,0.0006139,0.0006139
80,1282.45,1.17536,0.71615,1.07309,0.6116,0.70834,0.68795,0.41092,1.26773,0.74087,1.08118,0.00060895,0.00060895,0.00060895
81,1297.09,1.19954,0.72464,1.06975,0.6124,0.72234,0.6714,0.40065,1.26271,0.73502,1.07669,0.000604,0.000604,0.000604
82,1312.15,1.16561,0.71317,1.06102,0.64014,0.73284,0.71501,0.42161,1.2745,0.70934,1.07637,0.00059905,0.00059905,0.00059905
83,1328.26,1.16016,0.70108,1.06241,0.63573,0.7417,0.70445,0.40979,1.28581,0.74196,1.08699,0.0005941,0.0005941,0.0005941
84,1344.1,1.17789,0.71837,1.06458,0.58291,0.71023,0.69267,0.41361,1.28174,0.7443,1.0792,0.00058915,0.00058915,0.00058915
85,1360.01,1.18785,0.70457,1.07124,0.64432,0.73365,0.71461,0.41079,1.31593,0.72671,1.09989,0.0005842,0.0005842,0.0005842
86,1375.79,1.14878,0.69619,1.05398,0.61014,0.73699,0.70061,0.42155,1.28927,0.72401,1.08021,0.00057925,0.00057925,0.00057925
87,1390.74,1.16036,0.71322,1.05984,0.67795,0.69868,0.70877,0.42941,1.25824,0.73244,1.07425,0.0005743,0.0005743,0.0005743
88,1407.99,1.15854,0.6968,1.05616,0.60476,0.75122,0.68745,0.40005,1.3139,0.75599,1.09771,0.00056935,0.00056935,0.00056935
89,1423.51,1.13966,0.69335,1.04552,0.64459,0.76348,0.71106,0.42597,1.26692,0.71298,1.07397,0.0005644,0.0005644,0.0005644
90,1440.07,1.18372,0.69818,1.07559,0.66613,0.68188,0.67723,0.40514,1.2706,0.75487,1.0838,0.00055945,0.00055945,0.00055945
91,1455.4,1.17257,0.69083,1.06759,0.60328,0.74695,0.70315,0.43141,1.26245,0.73968,1.07286,0.0005545,0.0005545,0.0005545
92,1471.8,1.14585,0.68398,1.05352,0.70776,0.66406,0.72412,0.42814,1.2877,0.73381,1.08176,0.00054955,0.00054955,0.00054955
93,1487.54,1.15842,0.69329,1.06348,0.68105,0.7226,0.71693,0.42637,1.31802,0.72981,1.09138,0.0005446,0.0005446,0.0005446
94,1503.13,1.14981,0.68515,1.05714,0.66762,0.68552,0.69548,0.41931,1.27846,0.71428,1.08405,0.00053965,0.00053965,0.00053965
95,1518.74,1.13993,0.67655,1.05539,0.64386,0.74582,0.69165,0.41817,1.28186,0.72006,1.08255,0.0005347,0.0005347,0.0005347
96,1534.27,1.13457,0.67843,1.05503,0.65889,0.75138,0.71706,0.4209,1.3149,0.72038,1.08704,0.00052975,0.00052975,0.00052975
97,1549.76,1.15078,0.67978,1.05405,0.68968,0.74978,0.73306,0.43167,1.28615,0.71073,1.08332,0.0005248,0.0005248,0.0005248
98,1566.52,1.15179,0.67622,1.05514,0.69262,0.69345,0.73591,0.44279,1.27685,0.72173,1.07572,0.00051985,0.00051985,0.00051985
99,1584.36,1.15911,0.68211,1.0552,0.65373,0.68919,0.70876,0.4309,1.26825,0.70889,1.07769,0.0005149,0.0005149,0.0005149
100,1599.47,1.12848,0.67012,1.04772,0.68235,0.71338,0.71234,0.421,1.31901,0.74459,1.09894,0.00050995,0.00050995,0.00050995
101,1615.09,1.14584,0.6618,1.05702,0.66545,0.70185,0.70245,0.41578,1.33679,0.77738,1.10509,0.000505,0.000505,0.000505
102,1630.82,1.13511,0.67466,1.04421,0.70415,0.70251,0.7211,0.43943,1.27054,0.71236,1.07659,0.00050005,0.00050005,0.00050005
103,1646.53,1.13106,0.67292,1.05504,0.63088,0.75181,0.70732,0.42408,1.28482,0.72085,1.08236,0.0004951,0.0004951,0.0004951
104,1662.73,1.15002,0.67642,1.06083,0.70787,0.70718,0.72525,0.40362,1.39904,0.72985,1.11785,0.00049015,0.00049015,0.00049015
105,1679.13,1.12593,0.66514,1.04805,0.69744,0.71345,0.73403,0.42603,1.33374,0.72189,1.09385,0.0004852,0.0004852,0.0004852
106,1695.01,1.13221,0.64946,1.04737,0.68227,0.74163,0.73107,0.42666,1.28686,0.71387,1.07823,0.00048025,0.00048025,0.00048025
